"depth.layer"	"Time.foraging"	"state"	"param"
360	27617.0736376592	"rest"	"max"
360	25931.1476307091	"rest"	"mean"
360	21878.5122104114	"preg"	"min"
360	24921.2192065613	"preg"	"max"
360	23399.8657084863	"preg"	"mean"
360	21878.5122104114	"lact"	"min"
360	24921.2192065613	"lact"	"max"
360	23399.8657084863	"lact"	"mean"
370	23939.4094591879	"rest"	"min"
370	27268.7313045055	"rest"	"max"
370	25604.0703818467	"rest"	"mean"
370	21602.5520529632	"preg"	"min"
370	24606.88048417	"preg"	"max"
370	23104.7162685666	"preg"	"mean"
370	21602.5520529632	"lact"	"min"
370	24606.88048417	"lact"	"max"
370	23104.7162685666	"lact"	"mean"
380	23641.21579906	"rest"	"min"
380	26929.0670029028	"rest"	"max"
380	25285.1414009814	"rest"	"mean"
380	21333.4667158433	"preg"	"min"
380	24300.3726829473	"preg"	"max"
380	22816.9196993953	"preg"	"mean"
380	21333.4667158433	"lact"	"min"
380	24300.3726829473	"lact"	"max"
380	22816.9196993953	"lact"	"mean"
390	23350.3594534762	"rest"	"min"
390	26597.7604370722	"rest"	"max"
390	24974.0599452742	"rest"	"mean"
390	21071.0024576451	"preg"	"min"
390	24001.4067729467	"preg"	"max"
390	22536.2046152959	"preg"	"mean"
390	21071.0024576451	"lact"	"min"
390	24001.4067729467	"lact"	"max"
390	22536.2046152959	"lact"	"mean"
400	23066.5729022048	"rest"	"min"
400	26274.5068819816	"rest"	"max"
400	24670.5398920932	"rest"	"mean"
400	20814.9178722579	"preg"	"min"
400	23709.7077750222	"preg"	"max"
400	22262.31282364	"preg"	"mean"
400	20814.9178722579	"lact"	"min"
400	23709.7077750222	"lact"	"max"
400	22262.31282364	"lact"	"mean"
410	22789.6014739902	"rest"	"min"
410	25959.0162485187	"rest"	"max"
410	24374.3088612545	"rest"	"mean"
410	20564.9831482878	"preg"	"min"
410	23425.0139172549	"preg"	"max"
410	21994.9985327713	"preg"	"mean"
410	20564.9831482878	"lact"	"min"
410	23425.0139172549	"lact"	"max"
410	21994.9985327713	"lact"	"mean"
420	22519.2025842866	"rest"	"min"
420	25651.0122152139	"rest"	"max"
420	24085.1073997503	"rest"	"mean"
420	20320.9793812005	"preg"	"min"
420	23147.0758514337	"preg"	"max"
420	21734.0276163171	"preg"	"mean"
420	20320.9793812005	"lact"	"min"
420	23147.0758514337	"lact"	"max"
420	21734.0276163171	"lact"	"mean"
430	22255.1450266212	"rest"	"min"
430	25350.2314210519	"rest"	"max"
430	23802.6882238366	"rest"	"mean"
430	20082.6979338586	"preg"	"min"
430	22875.6559246601	"preg"	"max"
430	21479.1769292594	"preg"	"mean"
430	20082.6979338586	"lact"	"min"
430	22875.6559246601	"lact"	"max"
430	21479.1769292594	"lact"	"mean"
440	21997.2083132358	"rest"	"min"
440	25056.4227144142	"rest"	"max"
440	23526.815513825	"rest"	"mean"
440	19849.9398415264	"preg"	"min"
440	22610.5275016063	"preg"	"max"
440	21230.2336715664	"preg"	"mean"
440	19849.9398415264	"lact"	"min"
440	22610.5275016063	"lact"	"max"
440	21230.2336715664	"lact"	"mean"
